record,age,sex,weight,hungry,fast_food,fruit,vegetable,soft_drink,cigarette,alcohol
1867,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1868,16,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,3 times per day,I did not drink carbonated soft drinks,0 days,0 days
1869,15,Female,Average weight,Sometimes,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,6 to 9 days,10 to 19 days
1870,15,Male,Average weight,Rarely,1 day,2 times per day,I did not eat vegetables during the past 7 days,2 times per day,0 days,3 to 5 days
1871,16,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,All 30 days,6 to 9 days
1872,16,Female,NA,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,All 30 days,6 to 9 days
1873,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
1874,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1875,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1876,16,Male,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1877,16,Male,NA,Rarely,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
1878,15,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,3 to 5 days,3 to 5 days
1879,15,Female,NA,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1880,15,Female,NA,Most of the time,0 days,1 time per day,1 time per day,4 or more times per day,0 days,0 days
1881,14,Male,Overweight,Rarely,0 days,2 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1882,15,Female,Overweight,Never,1 day,1 to 3 times during the past 7 days,4 or more times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
1883,15,Female,NA,Never,0 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
1884,15,Female,NA,Never,7 days,1 time per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,6 to 9 days
1885,15,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,20 to 29 days
1886,15,Male,Average weight,Never,0 days,1 time per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1887,17,Male,NA,Never,2 days,I did not eat fruit during the past 7 days,4 or more times per day,4 to 6 times during the past 7 days,All 30 days,10 to 19 days
1888,15,Male,NA,Never,0 days,1 time per day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
1889,15,Male,NA,Rarely,0 days,1 time per day,2 times per day,1 time per day,0 days,0 days
1890,15,Male,NA,Sometimes,1 day,1 time per day,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
1891,15,Male,NA,Rarely,0 days,1 to 3 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
1892,15,NA,NA,Rarely,0 days,I did not eat fruit during the past 7 days,2 times per day,4 or more times per day,0 days,0 days
1893,15,Male,Overweight,Never,1 day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1894,15,Male,Average weight,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1895,15,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,3 times per day,0 days,3 to 5 days
1896,15,Female,NA,Sometimes,1 day,1 time per day,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,1 or 2 days
1897,17,Female,Overweight,Rarely,0 days,2 times per day,1 time per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1898,17,Female,Average weight,Never,2 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,1 or 2 days
1899,16,Female,NA,Rarely,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1900,16,Female,Overweight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1901,17,Female,Average weight,Never,0 days,3 times per day,1 time per day,I did not drink carbonated soft drinks,1 or 2 days,0 days
1902,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1903,13,Male,Average weight,Never,0 days,1 time per day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1904,13,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,0 days
1905,13,Female,NA,Never,2 days,2 times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1906,13,Male,Average weight,Rarely,1 day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
1907,14,Female,NA,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1908,14,Male,NA,Rarely,5 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,10 to 19 days
1909,14,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 time per day,4 or more times per day,0 days,0 days
1910,14,Male,NA,Never,0 days,4 or more times per day,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
1911,13,Female,NA,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1912,13,Female,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 time per day,4 or more times per day,0 days,0 days
1913,13,Female,Overweight,Never,0 days,2 times per day,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1914,13,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1915,13,Male,Overweight,Rarely,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
1916,14,Female,NA,Never,1 day,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
1917,13,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1918,14,Male,Average weight,Never,1 day,2 times per day,1 time per day,1 time per day,0 days,1 or 2 days
1919,14,Male,Overweight,Never,0 days,1 time per day,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
1920,15,Male,Overweight,Never,0 days,2 times per day,1 time per day,1 time per day,0 days,1 or 2 days
1921,14,Male,Overweight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1922,14,Male,Overweight,Rarely,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,2 times per day,0 days,0 days
1923,14,Male,NA,Sometimes,1 day,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1924,14,Female,Overweight,Never,1 day,I did not eat fruit during the past 7 days,2 times per day,1 time per day,0 days,NA
1925,14,Male,Average weight,Rarely,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
1926,14,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
1927,14,Male,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
1928,14,Female,Average weight,Never,0 days,2 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1929,14,Female,Average weight,Never,0 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1930,15,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
1931,15,Male,Average weight,Never,1 day,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,0 days
1932,14,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1933,15,Male,Overweight,Never,0 days,2 times per day,2 times per day,4 to 6 times during the past 7 days,0 days,0 days
1934,14,Male,Average weight,Never,0 days,4 to 6 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,NA
1935,14,Female,NA,Never,1 day,3 times per day,1 to 3 times during the past 7 days,2 times per day,0 days,1 or 2 days
1936,14,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
1937,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
1938,14,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,20 to 29 days
1939,15,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1940,14,Male,Average weight,Rarely,1 day,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,6 to 9 days
1941,15,Female,Average weight,Never,0 days,1 time per day,NA,3 times per day,0 days,3 to 5 days
1942,15,Male,Average weight,Never,0 days,4 to 6 times during the past 7 days,3 times per day,I did not drink carbonated soft drinks,1 or 2 days,6 to 9 days
1943,15,Female,NA,Never,0 days,3 times per day,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,6 to 9 days
1944,16,Male,Overweight,Rarely,1 day,4 to 6 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,10 to 19 days
1945,15,Male,Average weight,Rarely,0 days,2 times per day,1 time per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
1946,15,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1947,15,Female,Average weight,Sometimes,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1948,15,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,3 to 5 days
1949,16,Female,Average weight,Never,0 days,3 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
1950,15,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,3 to 5 days
1951,15,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,10 to 19 days
1952,15,Male,Average weight,Never,0 days,1 time per day,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,3 to 5 days
1953,15,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1954,15,Male,Average weight,Never,0 days,3 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,10 to 19 days
1955,15,Male,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,4 or more times per day,4 to 6 times during the past 7 days,0 days,3 to 5 days
1956,15,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
1957,16,Male,NA,NA,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,6 to 9 days,6 to 9 days
1958,16,Male,Average weight,Always,0 days,I did not eat fruit during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
1959,15,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
1960,16,Female,Average weight,Never,1 day,3 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,3 to 5 days
1961,16,Male,Average weight,Rarely,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,20 to 29 days,20 to 29 days
1962,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1963,16,Female,Average weight,Never,1 day,1 time per day,3 times per day,I did not drink carbonated soft drinks,0 days,3 to 5 days
1964,16,Male,Average weight,Never,0 days,1 time per day,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
1965,16,Male,Average weight,Never,0 days,1 time per day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
1966,17,Female,Average weight,Never,1 day,4 to 6 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,1 or 2 days,3 to 5 days
1967,17,Female,Overweight,Sometimes,0 days,1 to 3 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,3 to 5 days
1968,16,Female,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 time per day,4 or more times per day,1 or 2 days,3 to 5 days
1969,16,Male,Overweight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1970,16,Female,Average weight,Never,0 days,1 time per day,2 times per day,4 to 6 times during the past 7 days,1 or 2 days,10 to 19 days
1971,16,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1972,17,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,3 to 5 days
1973,16,Male,Average weight,Never,0 days,1 time per day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,3 to 5 days
1974,16,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,2 times per day,2 times per day,1 or 2 days,10 to 19 days
1975,17,Male,Overweight,Never,0 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1976,16,Male,Average weight,Never,0 days,1 time per day,1 time per day,2 times per day,0 days,6 to 9 days
1977,16,Female,Average weight,Sometimes,0 days,2 times per day,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,1 or 2 days,6 to 9 days
1978,16,Male,Average weight,Never,0 days,2 times per day,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
1979,16,Female,Underweight,Never,0 days,2 times per day,3 times per day,1 time per day,0 days,0 days
1980,17,Female,Average weight,Never,0 days,1 time per day,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
1981,16,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,3 to 5 days
1982,17,Male,Average weight,Rarely,0 days,4 to 6 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
1983,16,Male,Average weight,Never,0 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,6 to 9 days
1984,16,Female,NA,Never,0 days,3 times per day,4 to 6 times during the past 7 days,4 or more times per day,3 to 5 days,20 to 29 days
1985,16,Male,Average weight,Sometimes,2 days,1 time per day,2 times per day,4 to 6 times during the past 7 days,0 days,3 to 5 days
1986,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
1987,16,Male,NA,Never,7 days,I did not eat fruit during the past 7 days,2 times per day,1 to 3 times during the past 7 days,1 or 2 days,10 to 19 days
1988,17,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,6 to 9 days,3 to 5 days
1989,14,Female,NA,Never,1 day,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,2 times per day,1 or 2 days,6 to 9 days
1990,13,NA,NA,Rarely,1 day,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1991,14,Male,NA,Rarely,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
1992,13,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1993,13,Female,NA,Rarely,7 days,2 times per day,4 to 6 times during the past 7 days,3 times per day,0 days,0 days
1994,13,Female,Overweight,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
1995,13,Female,NA,Rarely,7 days,4 or more times per day,4 or more times per day,2 times per day,All 30 days,1 or 2 days
1996,13,Male,NA,Never,0 days,2 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1997,13,Female,NA,Never,2 days,4 to 6 times during the past 7 days,4 or more times per day,4 or more times per day,3 to 5 days,3 to 5 days
1998,13,Male,NA,Never,1 day,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
1999,13,Male,NA,Never,2 days,I did not eat fruit during the past 7 days,1 time per day,4 or more times per day,0 days,1 or 2 days
2000,13,Female,NA,Never,2 days,2 times per day,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
2001,14,Male,NA,Never,1 day,2 times per day,1 to 3 times during the past 7 days,2 times per day,0 days,1 or 2 days
2002,13,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,6 to 9 days
2003,13,Female,NA,Sometimes,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
2004,13,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
2005,13,Male,NA,Sometimes,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
2006,13,Female,NA,Never,0 days,1 time per day,1 time per day,4 or more times per day,0 days,0 days
2007,13,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 time per day,4 or more times per day,0 days,0 days
2008,14,Male,NA,Never,0 days,1 time per day,I did not eat vegetables during the past 7 days,3 times per day,0 days,0 days
2009,14,Male,NA,Never,1 day,2 times per day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
2010,13,Female,Overweight,Never,3 days,3 times per day,1 time per day,1 time per day,0 days,0 days
2011,13,Male,NA,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
2012,13,Female,Overweight,Never,2 days,I did not eat fruit during the past 7 days,4 or more times per day,2 times per day,0 days,NA
2013,13,Female,Average weight,Never,2 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
2014,16,Female,Average weight,Sometimes,1 day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,6 to 9 days,6 to 9 days
2015,17,Male,Overweight,Never,1 day,4 or more times per day,NA,4 or more times per day,0 days,3 to 5 days
2016,14,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
2017,15,Female,Average weight,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,3 times per day,0 days,0 days
2018,17,Female,NA,Never,2 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,3 times per day,3 to 5 days,10 to 19 days
2019,15,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,2 times per day,2 times per day,0 days,20 to 29 days
2020,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
2021,14,Male,Overweight,Never,2 days,2 times per day,1 time per day,1 to 3 times during the past 7 days,3 to 5 days,1 or 2 days
2022,14,Female,Average weight,Never,0 days,1 time per day,4 to 6 times during the past 7 days,3 times per day,0 days,0 days
2023,16,Female,Average weight,Sometimes,1 day,1 time per day,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
2024,14,Male,NA,Rarely,0 days,4 or more times per day,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
2025,15,Female,Overweight,Never,0 days,1 time per day,2 times per day,1 to 3 times during the past 7 days,10 to 19 days,6 to 9 days
2026,15,Female,NA,Never,0 days,2 times per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,6 to 9 days
2027,15,Female,Average weight,Rarely,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
2028,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,1 time per day,2 times per day,0 days,0 days
2029,15,Male,NA,Never,7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
2030,17,Male,NA,Rarely,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,All 30 days,1 or 2 days
2031,16,Male,NA,Never,0 days,2 times per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,10 to 19 days
2032,14,Female,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,0 days
2033,15,Male,NA,Never,2 days,1 time per day,3 times per day,4 to 6 times during the past 7 days,0 days,0 days
2034,15,Male,NA,Never,2 days,1 time per day,1 time per day,I did not drink carbonated soft drinks,1 or 2 days,0 days
2035,15,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 or more times per day,1 to 3 times during the past 7 days,0 days,0 days
2036,15,Female,NA,Never,1 day,1 to 3 times during the past 7 days,3 times per day,3 times per day,0 days,6 to 9 days
2037,17,Male,NA,Never,2 days,2 times per day,1 time per day,1 time per day,1 or 2 days,6 to 9 days
2038,16,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
2039,16,Male,Average weight,Never,0 days,1 time per day,I did not eat vegetables during the past 7 days,3 times per day,0 days,0 days
2040,15,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,0 days
2041,16,Female,NA,Never,1 day,1 time per day,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
2042,17,Female,NA,Rarely,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,1 or 2 days,20 to 29 days
2043,15,Female,NA,Never,3 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,10 to 19 days,6 to 9 days
2044,16,Male,Average weight,Rarely,2 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,6 to 9 days
2045,17,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
2046,15,Male,Average weight,Never,1 day,4 or more times per day,2 times per day,3 times per day,0 days,3 to 5 days
2047,15,Female,Average weight,Never,0 days,4 or more times per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
2048,16,Female,NA,Rarely,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,10 to 19 days
2049,16,Male,NA,Rarely,2 days,1 to 3 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,20 to 29 days,6 to 9 days
2050,17,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,All 30 days,3 to 5 days
2051,15,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,3 to 5 days
2052,16,Female,Average weight,Never,3 days,3 times per day,2 times per day,4 or more times per day,0 days,20 to 29 days
2053,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,0 days
2054,16,Male,Average weight,Rarely,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
2055,17,Male,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,6 to 9 days
2056,15,Female,Average weight,Rarely,3 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,20 to 29 days,3 to 5 days
2057,16,Male,Average weight,Never,0 days,1 time per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
2058,17,Female,Average weight,Never,1 day,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
2059,17,Female,Average weight,Rarely,2 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,All 30 days,10 to 19 days
2060,17,Female,Average weight,Rarely,0 days,1 time per day,1 time per day,I did not drink carbonated soft drinks,All 30 days,10 to 19 days
2061,16,Male,Average weight,Never,1 day,2 times per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
2062,17,Male,NA,Sometimes,0 days,4 to 6 times during the past 7 days,2 times per day,4 to 6 times during the past 7 days,0 days,0 days
2063,17,Male,NA,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,All 30 days,10 to 19 days
2064,16,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
2065,17,Male,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
2066,17,Male,Average weight,Rarely,1 day,1 to 3 times during the past 7 days,1 time per day,1 time per day,0 days,0 days
2067,16,Female,Average weight,Sometimes,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,3 to 5 days
2068,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
2069,17,Male,NA,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,20 to 29 days
2070,17,Female,Average weight,Sometimes,6 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,2 times per day,0 days,1 or 2 days
2071,17,Male,Average weight,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
2072,16,Female,Average weight,Never,2 days,NA,NA,4 or more times per day,0 days,0 days
2073,17,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,6 to 9 days
2074,16,Female,NA,Rarely,NA,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,All 30 days,10 to 19 days
